id,名字,类别,图标,初始占领门派,相邻地点,初始等级,背景类型,皮肤编号,x翻转,特产,地图坐标,特殊碰撞
0,京城,城市,京城,4,"20,27,40,33,61,46,72",5,3,3,1,棋谱,20.58;7.99,0
1,杭州,城市,杭州,0,"30,52,14,11,24,75,76",3,1,3,-1,字帖,52.96;-17.04,0
2,福州,城市,福州,9,"13,39,26,69,78",2,1,0,1,木材 矿料,11.03;-29.63,0
3,大理,城市,大理,14,"12,58,10,16,44,74,77",2,4,3,1,食材 毒物,-35.27;-23.12,0
4,幽州,城市,幽州,5,"57,27,23,73",1,2,3,-1,香炉,44.5;28,0
5,晋阳,城市,晋阳,10,"59,20,28,40",2,1,2,-1,画本,9.08;30.31,0
6,成都,城市,成都,1,"10,31,22,71",3,5,2,1,酒器,-26.8;-1.6,0
7,西凉,城市,西凉,12,"18,17,19,42,51,70",1,2,3,1,珠玉,-30.77;26.4,0
8,江陵,城市,江陵,11,"55,41,29,39,13",4,3,2,1,史书,-0.31;-14,0
9,扬州,城市,扬州,16,"46,30,25,65",4,1,1,1,服饰,50.8;4.88,0
10,乐山镇,村镇,村镇_5,8,"3,58,6,38,55",3,5,0,-1,无,-24.02;-11.47,0
11,太平乡,村镇,村镇_0,6,"1,36,53,47,76",1,0,1,1,无,49;-27.6,0
12,剑川镇,村镇,村镇_4,14,"3,44,64,74",0,4,0,1,无,-45.4;-22.27,0
13,清远乡,村镇,村镇_4,2,"2,8,63,78",0,4,2,1,无,1.12;-22,0
14,富阳镇,村镇,村镇_0,6,"25,36,1,52,75",0,0,3,-1,无,66.4;-14.6,0
15,那曲乡,村镇,村镇_6,18,"48,49,66,68",0,6,1,-1,无,-64.34;12.23,0
16,玉溪村,村镇,村镇_4,8,"3,38,50,63,77",0,4,0,-1,无,-24.6;-21,0
17,灵台村,村镇,村镇_6,15,"7,45,31,18,66,71",0,6,2,-1,无,-38;13.2,0
18,酒泉村,村镇,村镇_6,19,"7,17,49,51,66",0,6,0,-1,无,-44.92;25,0
19,陇西县,村镇,村镇_2,15,"34,42,22,7,45,54",2,2,1,1,无,-17;19.05,0
20,河内乡,村镇,村镇_3,4,"40,0,34,5",1,3,0,1,无,10.24;19.67,0
21,昌都镇,村镇,村镇_6,7,"37,48,60,64",1,6,2,-1,无,-67.71;-22.88,0
22,巴陵村,村镇,村镇_5,25,"6,19,54,41,55,71",0,5,0,1,无,-14.84;1.93,0
23,怀柔村,村镇,村镇_2,13,"4,43",1,2,1,-1,无,56.13;31.63,0
24,当涂镇,村镇,村镇_1,0,"1,33,30,62,67,76",0,1,2,1,无,38.88;-12,0
25,高邮镇,村镇,村镇_1,16,"9,14,52,56,65",0,1,1,-1,无,61.92;2.8,0
26,宁化乡,村镇,村镇_0,17,"2,47,53,69",1,0,0,-1,无,27.83;-34.02,0
27,襄垣村,村镇,村镇_3,5,"0,4,35,46,40,57",0,3,1,1,无,33.07;16.73,0
28,武邑乡,村镇,村镇_2,10,"5,57",0,2,0,1,无,21.84;35.36,0
29,云梦乡,村镇,村镇_3,11,"8,41,67,72",1,3,1,1,无,10;-9.1,0
30,长乐帮,门派,长乐帮,0,"1,9,24",0,1,3,1,无,44.56;-4.32,1.7;1.7
31,唐门,门派,唐门,1,"6,17,58,68",0,5,2,1,无,-38.07;0.84,1.9;1.9
