ID,名称,描述,等级,生命,生命上限,内力,内力上限,体力,外伤,内伤,中毒,Buff,价值,小类,审核名
0,腊八粥,,0,0,1,0,0,0,0,0,0,0,100,0,无
1,炖老母鸡,,1,0,2,0,0,0,0,0,0,0,200,0,无
2,天麻鱼头,,2,0,4,0,0,0,0,0,0,0,400,0,无
3,沙苑甲鱼汤,,3,0,6,0,0,0,0,0,0,0,800,0,无
4,参茸熊掌,,4,0,8,0,0,0,0,0,0,0,1600,0,无
5,十全大补汤,,5,0,10,0,0,0,0,0,0,0,3200,0,无
6,雄黄酒,,0,0,0,0,2,0,0,0,0,0,100,1,乌龙茶
7,蛇酒,,1,0,0,0,4,0,0,0,0,0,200,1,肉桂茶
8,三鞭酒,,2,0,0,0,8,0,0,0,0,0,400,1,铁观音茶
9,鹿胎酒,,3,0,0,0,12,0,0,0,0,0,800,1,白牡丹茶
10,虎骨酒,,4,0,0,0,16,0,0,0,0,0,1600,1,大红袍茶
11,龙脑酒,,5,0,0,0,20,0,0,0,0,0,3200,1,凤凰水仙茶
12,烧饼,,0,0,0,0,0,20,0,0,0,0,25,0,无
13,肉包,,1,0,0,0,0,30,0,0,0,0,50,0,无
14,煎饺,,2,0,0,0,0,40,0,0,0,0,100,0,无
15,烧鸡,,3,0,0,0,0,60,0,0,0,0,200,0,无
16,红烧肉,,4,0,0,0,0,80,0,0,0,0,400,0,无
17,乳猪,,5,0,0,0,0,100,0,0,0,0,800,0,无
18,浊酒,,0,0,0,0,0,10,0,0,0,1,50,1,绿茶
19,烧刀子,,1,0,0,0,0,15,0,0,0,2,100,1,龙井茶
20,竹叶青,,2,0,0,0,0,20,0,0,0,3,200,1,碧螺春茶
21,葡萄酒,,3,0,0,0,0,30,0,0,0,4,400,1,毛峰茶
22,新丰酒,,4,0,0,0,0,40,0,0,0,5,800,1,云雾茶
23,杜康酒,,5,0,0,0,0,50,0,0,0,6,1600,1,太平猴魁茶
24,桂圆枸杞粥,,0,10,0,0,0,0,0,0,0,1,50,0,无
25,茯苓糕,,1,20,0,0,0,0,0,0,0,2,100,0,无
26,当归炖羊肉,,2,40,0,0,0,0,0,0,0,3,200,0,无
27,虫草老鸭煲,,3,60,0,0,0,0,0,0,0,4,400,0,无
28,四君子汤,,4,80,0,0,0,0,0,0,0,5,800,0,无
29,烩八珍,,5,100,0,0,0,0,0,0,0,6,1600,0,无
30,清酒,,0,0,0,20,0,0,0,0,0,1,50,1,红茶
31,花雕酒,,1,0,0,40,0,0,0,0,0,2,100,1,工夫茶
32,女儿红,,2,0,0,80,0,0,0,0,0,3,200,1,古树茶
33,桑落酒,,3,0,0,120,0,0,0,0,0,4,400,1,九曲红梅茶
34,猴儿酿,,4,0,0,160,0,0,0,0,0,5,800,1,金骏眉茶
35,换骨醪,,5,0,0,200,0,0,0,0,0,6,1600,1,正山小种茶
