序号,特效,描述,显示百分比,基础数值
0,区域上限,区域上限,FALSE,1
1,弟子上限,弟子上限,FALSE,5
2,仓储容量,仓储容量,FALSE,1
3,弟子功绩,弟子功绩,TRUE,0.02
4,科研效率,科研效率,TRUE,0.04
5,旅行速度,旅行速度,TRUE,0.01
6,实战经验,实战经验,TRUE,0.01
7,理论经验,理论经验,TRUE,0.01
8,疗伤效率,疗伤效率,TRUE,0.01
9,本地疗伤效率,本地疗伤效率,TRUE,0.05
10,恢复效率,恢复效率,TRUE,0.02
11,本地恢复效率,本地恢复效率,TRUE,0.1
12,建造速度,建造速度,TRUE,0.02
13,本地建造速度,本地建造速度,TRUE,0.1
14,资源点产量,资源点产量,TRUE,0.01
15,本地资源点产量,本地资源点产量,TRUE,0.05
16,技艺经验,技艺经验,TRUE,0.01
17,内功经验,内功经验,TRUE,0.02
18,轻功经验,轻功经验,TRUE,0.02
19,绝技经验,绝技经验,TRUE,0.02
20,拳掌经验,拳掌经验,TRUE,0.02
21,剑法经验,剑法经验,TRUE,0.02
22,刀法经验,刀法经验,TRUE,0.02
23,长兵经验,长兵经验,TRUE,0.02
24,奇门经验,奇门经验,TRUE,0.02
25,射术经验,射术经验,TRUE,0.02
26,医术经验,医术经验,TRUE,0.02
27,毒术经验,毒术经验,TRUE,0.02
28,学识经验,学识经验,TRUE,0.02
29,口才经验,口才经验,TRUE,0.02
30,采伐经验,采伐经验,TRUE,0.02
31,木植经验,木植经验,TRUE,0.02
32,锻造经验,锻造经验,TRUE,0.02
33,炼药经验,炼药经验,TRUE,0.02
34,烹饪经验,烹饪经验,TRUE,0.02
35,全员力道,全员力道,FALSE,1
36,全员灵巧,全员灵巧,FALSE,1
37,全员智力,全员智力,FALSE,1
38,全员意志,全员意志,FALSE,1
39,全员体质,全员体质,FALSE,1
40,全员经脉,全员经脉,FALSE,1
41,全员内功,全员内功,FALSE,1
42,全员轻功,全员轻功,FALSE,1
43,全员绝技,全员绝技,FALSE,1
44,全员拳掌,全员拳掌,FALSE,1
45,全员剑法,全员剑法,FALSE,1
46,全员刀法,全员刀法,FALSE,1
47,全员长兵,全员长兵,FALSE,1
48,全员奇门,全员奇门,FALSE,1
49,全员射术,全员射术,FALSE,1
50,全员医术,全员医术,FALSE,1
51,全员毒术,全员毒术,FALSE,1
52,全员学识,全员学识,FALSE,1
53,全员口才,全员口才,FALSE,1
54,全员采伐,全员采伐,FALSE,1
55,全员木植,全员木植,FALSE,1
56,全员锻造,全员锻造,FALSE,1
57,全员炼药,全员炼药,FALSE,1
58,全员烹饪,全员烹饪,FALSE,1
59,藏经容量,藏经容量,FALSE,5
60,全域治安,全域治安,FALSE,1
61,全域民心,全域民心,FALSE,1
62,全域防御,全域防御,FALSE,1
63,全域人口,全域人口,FALSE,5
64,城防耐久,城防耐久,TRUE,0.02
