ID,名称,描述,等级,生命,生命上限,内力,内力上限,体力,外伤,内伤,中毒,Buff,价值,小类,审核名
0,补血丹,,0,20,0,0,0,0,0,0,0,0,25,0,无
1,小还丹,,1,40,0,0,0,0,0,0,0,0,50,0,无
2,大还丹,,2,80,0,0,0,0,0,0,0,0,100,0,无
3,人参养荣丸,,3,120,0,0,0,0,0,0,0,0,200,0,无
4,玉洞黑石丹,,4,160,0,0,0,0,0,0,0,0,400,0,无
5,万灵回生散,,5,200,0,0,0,0,0,0,0,0,800,0,无
6,益气散,,0,0,0,40,0,0,0,0,0,0,25,0,无
7,行气丹,,1,0,0,80,0,0,0,0,0,0,50,0,无
8,逍遥丹,,2,0,0,160,0,0,0,0,0,0,100,0,无
9,参苓白术散,,3,0,0,240,0,0,0,0,0,0,200,0,无
10,济生养气丸,,4,0,0,320,0,0,0,0,0,0,400,0,无
11,紫霄玄关散,,5,0,0,400,0,0,0,0,0,0,800,0,无
12,八珍散,,0,15,0,30,0,0,0,0,0,0,50,0,无
13,无常丹,,1,30,0,60,0,0,0,0,0,0,100,0,无
14,紫金丹,,2,60,0,120,0,0,0,0,0,0,200,0,无
15,天王补心丹,,3,90,0,180,0,0,0,0,0,0,400,0,无
16,生生造化丹,,4,120,0,240,0,0,0,0,0,0,800,0,无
17,九转还魂丹,,5,150,0,300,0,0,0,0,0,0,1600,0,无
18,止血散,,0,0,0,0,0,0,-5,0,0,0,50,0,无
19,金疮散,,1,0,0,0,0,0,-10,0,0,0,100,0,无
20,三七跌打散,,2,0,0,0,0,0,-20,0,0,0,200,0,无
21,接骨七厘散,,3,0,0,0,0,0,-30,0,0,0,400,0,无
22,血府逐瘀散,,4,0,0,0,0,0,-40,0,0,0,800,0,无
23,天香断续散,,5,0,0,0,0,0,-50,0,0,0,1600,0,无
24,通络丹,,0,0,0,0,0,0,0,-5,0,0,50,0,无
25,紫藤丹,,1,0,0,0,0,0,0,-10,0,0,100,0,无
26,牛黄血竭丹,,2,0,0,0,0,0,0,-20,0,0,200,0,无
27,田七鲨胆丹,,3,0,0,0,0,0,0,-30,0,0,400,0,无
28,三黄宝腊丹,,4,0,0,0,0,0,0,-40,0,0,800,0,无
29,还阳正气丹,,5,0,0,0,0,0,0,-50,0,0,1600,0,无
30,黄连丸,,0,0,0,0,0,0,0,0,-5,0,50,0,无
31,荆防丸,,1,0,0,0,0,0,0,0,-10,0,100,0,无
32,六味地黄丸,,2,0,0,0,0,0,0,0,-20,0,200,0,无
33,天心解毒丸,,3,0,0,0,0,0,0,0,-30,0,400,0,无
34,金花玉露丸,,4,0,0,0,0,0,0,0,-40,0,800,0,无
35,龙涎净厄丸,,5,0,0,0,0,0,0,0,-50,0,1600,0,无
