id,名字,类别,图标,占领门派（-99表示自动）,临近地点
0,瓷窑,,,-99,0
1,农田,,,-99,0
2,玉矿,,,-99,0
3,甘泉,,,-99,1
4,湖泽,,,-99,1
5,绸缎,,,-99,1
6,湖泽,,,-99,2
7,果园,,,-99,2
8,瓷窑,,,-99,2
9,银矿,,,-99,3
10,湖泽,,,-99,3
11,茶山,,,-99,3
12,玉矿,,,-99,4
13,药圃,,,-99,4
14,森林,,,-99,4
15,牧场,,,-99,5
16,铜矿,,,-99,5
17,铁矿,,,-99,5
18,金矿,,,-99,6
19,绸缎,,,-99,6
20,盐矿,,,-99,6
21,牧场,,,-99,7
22,玉矿,,,-99,7
23,盐矿,,,-99,7
24,湖泽,,,-99,8
25,茶山,,,-99,8
26,农田,,,-99,8
27,绸缎,,,-99,9
28,湖泽,,,-99,9
29,果园,,,-99,9
30,盐矿,,,-99,10
31,瓷窑,,,-99,11
32,银矿,,,-99,12
33,森林,,,-99,13
34,茶山,,,-99,14
35,药圃,,,-99,15
36,甘泉,,,-99,16
37,农田,,,-99,17
38,甘泉,,,-99,18
39,牧场,,,-99,19
40,茶山,,,-99,20
41,盐矿,,,-99,21
42,湖泽,,,-99,22
43,甘泉,,,-99,23
44,农田,,,-99,24
45,湖泽,,,-99,25
46,茶山,,,-99,26
47,铁矿,,,-99,27
48,农田,,,-99,28
49,湖泽,,,-99,29
50,茶山,,,-99,30
51,瓷窑,,,-99,30
52,铜矿,,,-99,31
53,铁矿,,,-99,31
54,灵谷,,,-99,32
55,甘泉,,,-99,32
56,铜矿,,,-99,33
57,茶山,,,-99,33
58,牧场,,,-99,34
59,铜矿,,,-99,34
60,银矿,,,-99,35
61,森林,,,-99,35
62,铁矿,,,-99,36
63,甘泉,,,-99,36
64,灵谷,,,-99,37
65,古木,,,-99,37
66,金矿,,,-99,38
67,森林,,,-99,38
68,牧场,,,-99,38
69,瓷窑,,,-99,39
70,银矿,,,-99,39
71,甘泉,,,-99,39
72,药圃,,,-99,40
73,森林,,,-99,40
74,农田,,,-99,40
75,茶山,,,-99,41
76,甘泉,,,-99,41
77,果园,,,-99,41
78,铜矿,,,-99,42
79,盐矿,,,-99,42
80,药圃,,,-99,43
81,森林,,,-99,43
82,药圃,,,-99,44
83,古木,,,-99,44
84,铜矿,,,-99,45
85,甘泉,,,-99,45
86,古木,,,-99,46
87,铁矿,,,-99,46
88,铜矿,,,-99,47
89,瓷窑,,,-99,47
90,银矿,,,-99,48
91,盐矿,,,-99,48
92,牧场,,,-99,48
93,银矿,,,-99,49
94,药圃,,,-99,49
95,铜矿,,,-99,50
96,盐矿,,,-99,51
97,茶山,,,-99,52
98,盐矿,,,-99,53
99,铁矿,,,-99,54
100,农田,,,-99,55
101,盐矿,,,-99,56
102,金矿,,,-99,57
103,铜矿,,,-99,58
104,农田,,,-99,59
105,灵谷,,,-99,60
106,农田,,,-99,60
107,湖泽,,,-99,60
108,农田,,,-99,61
109,瓷窑,,,-99,62
110,药圃,,,-99,63
111,森林,,,-99,64
112,盐矿,,,-99,65
113,银矿,,,-99,66
114,牧场,,,-99,66
115,甘泉,,,-99,66
116,湖泽,,,-99,67
117,茶山,,,-99,67
118,铁矿,,,-99,67
119,药圃,,,-99,68
120,瓷窑,,,-99,69
121,铜矿,,,-99,70
122,森林,,,-99,71
123,牧场,,,-99,72
124,铁矿,,,-99,73
125,盐矿,,,-99,74
126,银矿,,,-99,75
127,农田,,,-99,76
128,茶山,,,-99,77
129,瓷窑,,,-99,78
