id,名字,资源,加成,守城效果
0,茶山,"威望+2,药材+1",技艺经验0.01,速度+0.05
1,瓷窑,"威望+3,银钱+1",技艺经验0.02,速度+0.1
2,绸缎,"威望+4,银钱+2",技艺经验0.03,速度+0.15
3,铜矿,"银钱+2,矿石+1",弟子功绩0.01,伤害+0.05
4,银矿,"银钱+2,矿石+2",弟子功绩0.02,伤害+0.1
5,金矿,"银钱+5,矿石+1",弟子功绩0.03,伤害+0.15
6,农田,粮食+3,恢复效率0.01,命中+0.05
7,牧场,"粮食+3,威望+1",恢复效率0.02,命中+0.1
8,果园,"粮食+4,木料+2",恢复效率0.03,命中+0.15
9,湖泽,"木料+2,粮食+1",建造速度0.02,城防耐久+0.1
10,森林,"木料+3,药材+1",建造速度0.04,城防耐久+0.2
11,古木,"木料+4,药材+2",建造速度0.06,城防耐久+0.3
12,盐矿,"矿石+2,粮食+1",科研效率0.02,护甲+2.5
13,铁矿,"矿石+3,银钱+1",科研效率0.04,护甲+5
14,玉矿,"矿石+4,威望+2",科研效率0.06,护甲+7.5
15,甘泉,"药材+2,粮食+1",疗伤效率0.01,回血+0.005
16,药圃,"药材+3,威望+1",疗伤效率0.02,回血+0.01
17,灵谷,"药材+4,木料+2",疗伤效率0.03,回血+0.015
