id,名字,脸,眼,眉,发,嘴,鼻,发后,男胡,杂
-1,男总计,21,104,99,107,73,54,-1,71,12
0,女总计,13,61,60,61,61,54,-1,-1,11
1,姜.映泉,1,10,10,10,10,10,10,0,-1
2,陆.仁谦,14,11,11,11,11,11,11,1,-1
3,魏.胥华,5,12,12,12,12,12,-1,-1,-1
4,余.采薇,0,10,10,10,3,10,10,-1,-1
5,顾.游年,15,13,13,13,13,13,13,-1,-1
6,沈.退,0,102,14,14,14,14,14,-1,-1
7,姜.婉,1,11,11,11,11,11,11,-1,-1
8,杨.思迟,3,15,15,15,18,15,-1,-1,-1
9,林.云裳,3,12,12,12,12,12,-1,-1,-1
10,乐.无疾,2,13,13,13,13,13,13,-1,1
11,云.彩衣,0,14,14,14,39,14,-1,-1,0
12,卢.玉麟,5,16,16,16,16,16,-1,2,-1
13,唐.逸影,14,17,17,17,17,17,-1,3,-1
14,唐.离,4,18,18,18,18,18,18,-1,-1
15,唐.嫣然,0,15,15,15,15,15,15,-1,-1
16,皇甫.青衫,1,16,16,16,16,16,16,-1,-1
17,皇甫.斌,15,19,19,19,19,19,19,-1,-1
18,朱.断岳,10,20,20,20,20,20,20,4,-1
19,徐.不平,5,17,17,17,17,17,-1,-1,-1
20,赵.破虏,15,21,21,21,21,21,21,-1,-1
21,诸葛.伶,2,56,18,18,4,18,18,-1,-1
22,南宫.瑶,2,19,19,19,19,19,19,-1,-1
23,葛.知远,1,22,22,22,22,22,22,5,-1
24,欧.长兵,6,23,23,23,23,23,23,6,-1
25,祖.心炎,6,20,20,20,20,20,20,-1,-1
26,龙.凤娥,2,57,21,21,13,23,21,-1,-1
27,龙.凝霜,1,0,22,22,22,22,-1,-1,-1
28,石.崇虎,6,24,24,24,24,24,-1,7,-1
29,阎.罗王,6,25,25,25,25,25,25,8,-1
30,崔.命官,5,26,26,26,26,26,-1,-1,-1
31,孟.婆娑,4,23,23,23,15,23,23,-1,-1
32,常.无黑,0,27,27,27,27,27,27,-1,-1
33,常.无白,2,24,24,24,24,24,24,-1,-1
34,牛.头,5,28,28,28,28,28,-1,9,-1
35,马.面,0,29,29,29,29,29,29,-1,-1
36,道.无名,1,30,30,30,30,30,30,10,-1
37,思.中澜,16,103,31,31,31,31,31,-1,-1
38,姬.清梵,1,25,25,25,39,25,25,-1,-1
39,空闻.大师,10,32,32,32,32,32,22,11,-1
40,空见.大师,8,34,34,34,34,34,97,13,-1
41,如是.大师,6,33,33,33,33,33,-1,12,-1
42,张.青蓬,10,35,35,35,35,35,35,14,-1
43,张.文馨,1,2,26,26,26,26,26,-1,-1
44,宋.廉庭,1,36,36,36,8,36,-1,15,-1
45,项.元霸,12,37,37,37,37,37,37,16,-1
46,宇文.极,0,27,6,27,45,27,27,-1,-1
47,吕.寻峰,17,38,38,38,38,38,38,-1,-1
48,庄.晓梦,0,28,28,28,6,28,28,-1,-1
49,司马.德源,10,39,39,39,39,39,39,17,-1
50,李.潇湘,5,29,29,29,8,29,-1,-1,-1
51,白.云天,3,60,59,60,12,53,60,-1,-1
52,曲.自封,5,40,40,40,40,40,40,-1,-1
53,闻.惊鸿,0,34,31,31,31,31,31,-1,-1
54,墨.璇玑,8,32,32,32,32,32,-1,-1,-1
55,墨.从义,16,41,41,41,41,41,-1,-1,-1
56,雷.震天,6,42,42,42,42,42,42,18,-1
57,雷.冠群,15,43,43,43,43,43,-1,-1,-1
58,雷.彤,2,33,33,33,39,33,33,-1,-1
59,转轮.法王,6,44,44,44,44,44,-1,19,-1
60,金刚.法王,14,45,45,45,45,45,-1,69,-1
61,真言.法王,4,34,34,34,34,34,34,-1,-1
62,凌.北渊,8,11,35,35,35,35,-1,-1,-1
63,云.九霄,0,46,46,46,18,1,46,-1,-1
64,江.映寒,9,36,36,36,36,36,36,-1,-1
65,夏.天雄,10,47,47,47,47,47,47,21,-1
66,叶.一鸣,5,37,37,37,37,37,37,-1,-1
67,韩.嵩,1,48,48,48,48,48,-1,22,-1
68,陆.奇,7,49,49,49,49,49,49,-1,-1
69,吕.子芳,2,38,38,38,38,34,38,-1,-1
70,公孙.防,3,50,50,50,50,50,50,-1,-1
71,狄.坤,1,51,51,51,28,44,-1,23,-1
72,万.仞山,1,52,52,3,38,42,3,24,-1
73,卓.远望,1,53,53,53,51,47,-1,25,-1
74,陆.离,4,39,39,39,39,38,-1,-1,-1
75,卫.海川,0,42,40,40,46,41,40,-1,-1
76,沈.蛟,1,54,54,54,52,40,-1,26,-1
77,上官.雯,9,41,34,41,41,34,-1,-1,-1
78,周.莫知,1,55,55,55,14,48,55,27,-1
