id,类别,等级,名字,描述,基础威力,经验系数,修炼效果,运功效果,威力系数,修炼需求,攻击范围,伤害范围,使用特效,内力消耗,所属势力,使用目标,攻击架势,防御架势,召唤ID,使用次数,动作,子弹,特效,使用武器,伤害顺序,角色位移,Trail,隐藏
0,射术,0,弩箭,中型的弩箭，威力中等,15,0,,,,,"0,2,6","0,0,0",流血0.08,0,-1,0,,,,,skill5_2,0,劈砍-Target-Grid-Happen,弓,Same,FALSE,-1,0
1,射术,0,野马脱缰,猛力冲击敌人造成失衡效果,12,0,,,,,"2,2,4","0,0,0",失衡0.04,0,16,0,,,,,skill5_2,,打击1-Target-Grid-Happen,弓,Same,TRUE,-1,0
2,射术,1,狂奔猛突,猛力冲撞敌人造成击退效果,14,0,,,,,"2,3,4","0,0,0",急速0.06;击退1,0,16,0,,,,,skill5_2,,打击2-Target-Grid-Happen,弓,Same,TRUE,-1,0
3,射术,2,飞矢乱箭,向小范围射出密集的箭雨,10,0,,,,,"0,2,3","0,0,1",流血0.1,0,16,0,,,,,skill5_2,,箭雨-Target-Grid-Happen,弓,Distance,FALSE,-1,0
4,射术,3,燎原业火,向范围内喷射燃烧的火油,19,0,,,,,"0,4,6","1,0,1",灼烧0.1,0,16,0,,,,,skill5_2,,天火-Target-Grid-Happen,弓,Distance,FALSE,-1,0
5,射术,4,地动山摇,通过强力冲击引发大范围地震,21,0,,,,,"0,4,7","0,0,2",眩晕0.05;动摇0.05;失衡0.05,0,16,0,,,,,skill5_2,,地刺-Target-Grid-Happen,弓,Distance,FALSE,-1,0
6,射术,0,小型弩箭,小型的弩箭，威力较弱,10,0,,,,,"0,1,4","0,0,0",流血0.04,0,-1,0,,,,,skill5_2,0-----0.5,劈砍-Target-Grid-Happen,弓,Same,FALSE,-1,0
7,射术,1,大型弩箭,大型的弩箭，威力较强,20,0,,,,,"0,3,8","0,0,0",流血0.12,0,-1,0,,,,,skill5_2,0-----1.5,劈砍-Target-Grid-Happen,弓,Same,FALSE,-1,0
8,射术,1,振奋,擂响战鼓，激励范围友军士气,-10,0,,,,,"0,1,5","1,0,1",蓄力0.05,0,-1,3,,,,,skill5_2,,治疗-Target-Grid-Happen,,Same,FALSE,-1,0
9,射术,5,破兵式,千机万巧，尽在其中,20,0,,,,,"0,3,5","3,0,1",虚弱0.08;弱点0.08;迟缓0.08,0,16,0,,,,,skill5_2,,地面打击5-Target-Grid-Happen,弓,Distance,FALSE,-1,0
10,射术,2,齐射,向大范围射出密集的箭雨,15,0,,,,,"0,2,6","0,0,2",流血0.04,0,-1,0,,,,,skill5_2,0,劈砍-Target-Grid-Happen,弓,Same,FALSE,-1,0
