序号,名称,描述,大类,加成对象,加成数值,固定成长,科研难度,消耗资源
0,开宗立派,开宗立派,0,区域上限,1,TRUE,4,银钱
1,人力管理,人力管理,0,弟子上限,2,FALSE,2,粮食
2,仓储管理,仓储管理,0,仓储容量,1,TRUE,1,粮食
3,疗伤管理,疗伤管理,0,疗伤效率,0.01,FALSE,1,药材
4,恢复管理,恢复管理,0,恢复效率,0.02,FALSE,1,药材
5,建造管理,建造管理,0,建造速度,0.02,FALSE,1,银钱
6,旅行管理,旅行管理,0,旅行速度,0.01,FALSE,1,银钱
7,生产管理,生产管理,0,资源点产量,0.01,FALSE,1,粮食
8,功绩管理,功绩管理,0,弟子功绩,0.02,FALSE,1,威望
9,科研管理,科研管理,0,科研效率,0.04,FALSE,1,银钱
10,基础训练,基础训练,1,实战经验,0.01,FALSE,2,银钱
11,文书管理,文书管理,1,理论经验,0.01,FALSE,2,银钱
12,内功纲要,内功纲要,1,内功经验,0.02,FALSE,1,银钱
13,轻功纲要,轻功纲要,1,轻功经验,0.02,FALSE,1,银钱
14,绝技纲要,绝技纲要,1,绝技经验,0.02,FALSE,1,银钱
15,拳掌纲要,拳掌纲要,1,拳掌经验,0.02,FALSE,1,银钱
16,剑法纲要,剑法纲要,1,剑法经验,0.02,FALSE,1,银钱
17,刀法纲要,刀法纲要,1,刀法经验,0.02,FALSE,1,银钱
18,长兵纲要,长兵纲要,1,长兵经验,0.02,FALSE,1,银钱
19,奇门纲要,奇门纲要,1,奇门经验,0.02,FALSE,1,银钱
20,射术纲要,射术纲要,1,射术经验,0.02,FALSE,1,银钱
21,日常修习,日常修习,2,技艺经验,0.01,FALSE,3,银钱
22,医术纲要,医术纲要,2,医术经验,0.02,FALSE,1,药材
23,毒术纲要,毒术纲要,2,毒术经验,0.02,FALSE,1,药材
24,学识纲要,学识纲要,2,学识经验,0.02,FALSE,1,银钱
25,口才纲要,口才纲要,2,口才经验,0.02,FALSE,1,银钱
26,采伐纲要,采伐纲要,2,采伐经验,0.02,FALSE,1,粮食
27,木植纲要,木植纲要,2,木植经验,0.02,FALSE,1,木料
28,锻造纲要,锻造纲要,2,锻造经验,0.02,FALSE,1,矿石
29,炼药纲要,炼药纲要,2,炼药经验,0.02,FALSE,1,药材
30,烹饪纲要,烹饪纲要,2,烹饪经验,0.02,FALSE,1,粮食
31,力道训练,力道训练,3,全员力道,1,TRUE,3,银钱
32,灵巧训练,灵巧训练,3,全员灵巧,1,TRUE,3,银钱
33,智力训练,智力训练,3,全员智力,1,TRUE,3,银钱
34,意志训练,意志训练,3,全员意志,1,TRUE,3,银钱
35,体质训练,体质训练,3,全员体质,1,TRUE,3,银钱
36,经脉训练,经脉训练,3,全员经脉,1,TRUE,3,银钱
37,内功训练,内功训练,3,全员内功,1,TRUE,2,银钱
38,轻功训练,轻功训练,3,全员轻功,1,TRUE,2,银钱
39,绝技训练,绝技训练,3,全员绝技,1,TRUE,2,银钱
40,拳掌训练,拳掌训练,3,全员拳掌,1,TRUE,2,银钱
41,剑法训练,剑法训练,3,全员剑法,1,TRUE,2,银钱
42,刀法训练,刀法训练,3,全员刀法,1,TRUE,2,银钱
43,长兵训练,长兵训练,3,全员长兵,1,TRUE,2,银钱
44,奇门训练,奇门训练,3,全员奇门,1,TRUE,2,银钱
45,射术训练,射术训练,3,全员射术,1,TRUE,2,银钱
46,医术训练,医术训练,3,全员医术,1,TRUE,1,药材
47,毒术训练,毒术训练,3,全员毒术,1,TRUE,1,药材
48,学识训练,学识训练,3,全员学识,1,TRUE,1,银钱
49,口才训练,口才训练,3,全员口才,1,TRUE,1,银钱
50,采伐训练,采伐训练,3,全员采伐,1,TRUE,1,粮食
51,木植训练,木植训练,3,全员木植,1,TRUE,1,木料
52,锻造训练,锻造训练,3,全员锻造,1,TRUE,1,矿石
53,炼药训练,炼药训练,3,全员炼药,1,TRUE,1,药材
54,烹饪训练,烹饪训练,3,全员烹饪,1,TRUE,1,粮食
55,巡逻治安,巡逻治安,0,全域治安,1,TRUE,4,银钱
56,赈济民心,赈济民心,0,全域民心,1,TRUE,4,银钱
57,稳固防御,稳固防御,0,全域防御,1,TRUE,4,银钱
58,户籍人口,户籍人口,0,全域人口,5,TRUE,4,粮食
59,城防工事,城防工事,0,城防耐久,0.02,FALSE,1,木料
60,分舵管理,分舵管理,0,区域上限,1,TRUE,4,银钱
